,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Bacillus cereus,55,62,24,9,55,42,19,31,68,37,105
Bacillus thuringiensis,76,108,42,16,115,56,32,42,123,57,127
Bacillus anthracis,41,59,18,7,50,27,15,29,55,25,68
Bacillus mycoides,2,8,3,1,5,9,1,5,11,8,11
Bacillus wiedmannii,5,4,3,1,6,5,1,2,4,2,2
Bacillus paranthracis,5,3,1,1,4,1,0,3,2,1,1
Bacillus tropicus,3,3,2,1,7,1,1,3,4,1,3
Bacillus sp. ABP14,3,3,0,0,4,3,1,2,9,2,10
Bacillus toyonensis,0,0,0,0,0,0,0,3,0,0,0
Bacillus pseudomycoides,1,2,0,0,1,0,0,1,0,1,1
Bacillus cytotoxicus,1,2,0,0,1,1,1,4,3,5,163
Bacillus velezensis,120,144,73,23,168,77,39,81,195,83,107
Bacillus amyloliquefaciens,5,8,3,2,7,4,2,3,10,4,6
Bacillus siamensis,5,3,0,0,3,0,1,1,5,0,0
Bacillus subtilis,34,59,21,8,57,27,14,27,48,21,42
Bacillus halotolerans,14,12,5,4,13,10,2,11,15,5,11
Bacillus licheniformis,13,32,5,3,16,14,7,8,34,12,12
Bacillus atrophaeus,5,5,2,0,7,2,2,0,1,5,5
Bacillus paralicheniformis,5,5,1,2,6,3,3,2,6,9,7
Bacillus spizizenii,0,0,0,0,0,0,0,0,0,0,0
Bacillus sp. Y1,72,79,28,11,83,37,31,34,83,26,44
Bacillus sp. KH172YL63,8,4,3,2,9,4,2,4,3,3,3
Bacillus sp. CMF21,4,5,0,0,4,1,0,2,2,0,2
Bacillus sp. CMF12,2,1,2,0,1,1,1,1,0,0,0
Bacillus sp. BS98,1,2,0,0,0,1,0,0,1,0,2
Bacillus sp. ZHX3,1,0,0,0,0,0,0,1,0,0,0
Bacillus sp. Lzh-5,1,2,0,0,1,2,1,1,1,1,5
Bacillus sp. ZY-1-1,1,0,0,0,0,2,0,0,1,0,0
Bacillus sp. THAF10,1,0,0,0,0,0,0,0,0,1,0
Bacillus dafuensis,39,37,17,6,35,20,16,21,55,10,14
Bacillus haynesii,24,21,9,4,30,16,6,13,37,7,20
Bacillus aquiflavi,15,11,5,5,16,7,2,5,24,5,19
Bacillus altitudinis,8,12,7,3,13,4,2,7,8,5,9
Bacillus safensis,5,3,3,1,7,3,2,1,10,2,3
Bacillus carboniphilus,3,3,0,2,3,1,2,1,6,1,1
Bacillus infantis,0,0,0,0,0,0,0,0,0,0,0
Bacillus smithii,1,1,1,1,3,0,0,1,0,0,0
Bacillus badius,1,1,0,0,0,2,1,2,0,1,2
Neobacillus sp. OS1-32,13,19,8,1,21,9,10,13,26,12,5
Neobacillus sp. Marseille-Q6967,9,8,2,0,14,6,6,2,9,12,9
Neobacillus sp. OS1-33,6,2,2,1,4,1,2,2,8,3,0
Neobacillus sp. PS2-9,3,8,1,4,7,7,4,2,8,4,9
Neobacillus sp. PS3-40,3,4,1,0,4,2,1,1,3,1,0
Neobacillus sp. OS1-2,3,3,0,0,3,3,1,2,0,2,1
Neobacillus sp. DY30,1,2,2,0,2,1,0,1,5,1,1
Neobacillus sp. YX16,1,7,2,0,4,6,1,2,7,0,0
Neobacillus sp. SuZ13,1,2,1,0,0,0,0,0,0,3,0
Neobacillus sp. PS3-12,1,3,1,1,3,2,1,4,9,1,8
Neobacillus mesonae,46,50,19,13,79,29,20,41,72,16,16
Neobacillus novalis,12,17,4,0,11,7,4,6,11,1,4
Priestia aryabhattai,38,45,8,10,45,20,7,17,56,11,13
Priestia megaterium,13,23,5,2,17,11,4,6,20,7,19
Priestia filamentosa,1,0,0,0,3,0,0,2,0,1,0
Lysinibacillus agricola,22,22,3,0,24,11,8,9,27,11,6
Lysinibacillus timonensis,12,19,9,11,23,17,7,10,22,10,7
Lysinibacillus sp. SGAir0095,7,11,6,0,11,6,4,11,8,2,7
Lysinibacillus sp. PLM2,3,9,4,0,12,6,5,5,4,2,0
Lysinibacillus sp. 2017,1,3,1,1,6,0,2,0,5,1,0
Lysinibacillus sphaericus,0,0,1,0,1,0,1,0,0,1,0
Heyndrickxia oleronia,28,31,8,13,24,15,6,13,34,16,33
Heyndrickxia coagulans,3,2,1,1,5,1,0,2,3,4,1
Peribacillus asahii,16,17,6,1,19,9,7,11,23,9,7
Peribacillus frigoritolerans,4,2,4,2,4,1,2,2,5,3,2
Peribacillus sp. R9-11,3,0,0,1,2,4,0,1,5,0,0
Peribacillus psychrosaccharolyticus,1,2,2,0,0,0,1,0,1,0,1
Peribacillus simplex,0,0,0,0,0,1,0,0,1,0,0
Peribacillus muralis,1,0,0,0,1,0,0,0,0,0,0
Cytobacillus oceanisediminis,15,20,7,2,13,10,3,9,15,12,9
Cytobacillus firmus,2,3,0,0,1,1,1,1,1,0,1
Cytobacillus gottheilii,1,1,2,0,2,1,0,1,1,0,0
Cytobacillus solani,1,2,0,0,1,1,0,0,0,2,2
Metabacillus sediminilitoris,4,4,2,0,5,1,0,1,3,2,0
Metabacillus endolithicus,3,1,0,1,2,2,2,1,3,2,2
Metabacillus litoralis,2,2,0,0,0,1,0,0,1,0,3
Metabacillus sp. B2-18,2,0,1,0,0,1,0,0,3,0,0
Radiobacillus deserti,11,14,5,0,9,5,4,7,8,8,65
Virgibacillus salarius,4,1,1,0,1,1,1,1,1,0,2
Virgibacillus sp. NKC19-16,2,1,0,0,0,0,2,0,3,0,2
Virgibacillus sp. Bac330,1,2,1,0,2,0,1,0,0,0,0
Virgibacillus necropolis,2,0,0,0,0,0,0,0,0,0,0
Virgibacillus natechei,1,0,0,1,1,0,2,0,0,1,0
Niallia circulans,5,5,2,0,7,1,1,3,5,3,3
Niallia sp. Man26,1,3,1,0,2,4,0,2,5,1,1
Geobacillus proteiniphilus,3,4,2,3,3,5,3,3,10,0,4
Geobacillus stearothermophilus,1,1,0,2,1,0,0,2,5,2,0
Geobacillus thermodenitrificans,0,1,0,0,1,0,1,0,1,1,1
Geobacillus subterraneus,1,2,1,0,2,2,0,0,0,0,0
Geobacillus zalihae,1,0,0,0,0,0,0,0,0,0,0
Anoxybacillus amylolyticus,4,10,5,6,11,11,1,8,20,2,5
Anoxybacillus caldiproteolyticus,1,0,0,0,0,0,0,0,0,0,0
Mesobacillus subterraneus,4,9,1,3,9,1,2,4,9,6,4
Mesobacillus foraminis,1,2,0,0,4,0,1,0,0,0,0
Rossellomorea vietnamensis,3,2,0,0,0,1,0,1,1,0,1
Oceanobacillus kimchii,0,0,0,0,0,0,0,0,0,0,0
Paenalkalicoccus suaedae,3,2,0,2,1,0,2,0,1,0,0
Pradoshia sp. D12,2,2,1,0,0,0,0,0,1,1,2
Lederbergia lenta,2,1,3,0,4,1,2,0,2,0,2
Sutcliffiella cohnii,2,0,1,1,1,3,0,0,2,0,1
Fictibacillus sp. KU28468,2,1,0,0,1,0,0,0,0,0,3
Lentibacillus sp. CBA3610,2,4,0,1,7,2,2,0,6,2,0
Caldalkalibacillus thermarum,0,0,0,0,0,0,0,0,0,0,0
Psychrobacillus sp. INOP01,1,1,1,0,1,0,1,0,0,0,1
Fervidibacillus albus,1,0,1,0,2,1,1,0,2,0,0
Amphibacillus xylanus,0,0,0,0,0,0,0,0,0,0,0
Halobacillus litoralis,1,1,1,0,2,1,2,0,4,0,3
Gottfriedia acidiceleris,1,1,1,0,1,0,0,2,1,1,0
Ectobacillus sp. JY-23,1,1,0,0,1,1,0,0,0,0,0
Salipaludibacillus sp. LMS25,1,1,1,0,1,1,0,1,2,1,1
Paenibacillus sp. RC67,3,4,2,1,1,3,0,1,3,0,2
Paenibacillus sp. R14(2021),2,4,0,1,3,1,1,0,7,1,3
Paenibacillus sp. sptzw28,2,2,1,1,0,3,1,0,4,2,0
Paenibacillus sp. HWE-109,2,6,0,2,3,10,2,10,3,2,5
Paenibacillus sp. SYP-B4298,1,0,2,0,1,0,0,0,1,1,0
Paenibacillus sp. JNUCC-31,1,2,1,0,0,1,2,0,1,1,0
Paenibacillus sp. M-152,1,1,0,0,0,0,0,0,0,0,0
Paenibacillus sp. CC-CFT742,1,1,0,1,1,1,2,5,0,0,2
Paenibacillus sp. BIHB 4019,1,4,1,0,2,1,1,2,0,0,1
Paenibacillus sp. FSL R5-0345,1,0,0,0,0,0,0,0,0,0,0
Paenibacillus sp. IHB B 3084,1,0,0,0,0,1,0,0,0,0,0
Paenibacillus mucilaginosus,6,8,0,1,6,8,1,2,14,2,2
Paenibacillus psychroresistens,4,7,0,0,1,3,0,0,7,1,0
Paenibacillus andongensis,4,3,3,0,3,12,4,21,8,2,10
Paenibacillus elgii,3,1,0,0,0,1,0,0,0,0,1
Paenibacillus rhizovicinus,3,1,0,2,3,2,3,0,4,0,0
Paenibacillus polymyxa,1,4,0,1,1,1,0,1,4,1,0
Paenibacillus swuensis,2,1,0,2,3,2,0,2,2,0,1
Paenibacillus thiaminolyticus,2,5,2,2,5,2,1,2,3,1,1
Paenibacillus beijingensis,1,2,0,1,0,1,0,1,2,0,0
Paenibacillus dendritiformis,1,0,0,0,0,0,0,0,1,0,0
